FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
成双大道福锦路二段（簇桥工商所旁）,蓝光金悦城,http://cd.fang.lianjia.com/loupan/p_lgjyckaaetr/, 14200
通源街588号,乐天圣苑,http://cd.fang.lianjia.com/loupan/p_ytsyaacpg/, 20000
双楠果堰街,中海熙苑,http://cd.fang.lianjia.com/loupan/p_zhxyaarwp/, 14741
天府大道南段海昌北路109号（极地海洋世界北侧）,金地天府城,http://cd.fang.lianjia.com/loupan/p_jdtfcaaasn/, 14001
羊犀立交外侧（青房尙瑞天韵旁）,蓝光金悦金沙,http://cd.fang.lianjia.com/loupan/p_lgjyjsaahzi/, 11500
光华大道三段清泉北街江安路,佳年华新生活,http://cd.fang.lianjia.com/loupan/p_jnhxshkaafcl/, 6500
政通东路369号（温泉大道与花土路交汇处）,金恒德时代金悦,http://cd.fang.lianjia.com/loupan/p_jhdsdjyaaelm/, 6200
迎晖路6号,信和御龙山一期,http://cd.fang.lianjia.com/loupan/p_xhylskaafen/, 11500
望从东路308号,一里阳光,http://cd.fang.lianjia.com/loupan/p_ylygaaesm/, 5000
花牌坊街199号,西锦国际,http://cd.fang.lianjia.com/loupan/p_xjgjaakpz/, 15600
红光镇港通北一路567号,中铁西郡英华三期,http://cd.fang.lianjia.com/loupan/p_aamsi/, 5500
中和大道二段69号,红树湾,http://cd.fang.lianjia.com/loupan/p_hswaacow/, 13700
地铁2号线百草路站（成都实验外国语学校北侧）,万科城,http://cd.fang.lianjia.com/loupan/p_wkcaaeei/, 10500
阳光城阳光大道2号,成龙1号,http://cd.fang.lianjia.com/loupan/p_cl1haafny/, 5200
兴城大道777号,富力桃园,http://cd.fang.lianjia.com/loupan/p_fltyaaeit/, 6451
天府大道北段1199号（高新国际广场旁）,银泰中心,http://cd.fang.lianjia.com/loupan/p_ytzxaatmh/, 42500
犀浦镇银河西街99号（地铁2号线天河路站D出口）,合能橙中心,http://cd.fang.lianjia.com/loupan/p_hnczxaadvp/, 7800
天府大道南段会龙大道内,中铁城锦南汇,http://cd.fang.lianjia.com/loupan/p_ztcjnhaaeif/, 12000
成龙大道车城西三路,金科东方雅郡,http://cd.fang.lianjia.com/loupan/p_jkdfyjkpaafjh/, 6500
南三环娇子立交外侧,首创娇子1号,http://cd.fang.lianjia.com/loupan/p_scjzaapwu/, 10500
丽都路700号（置信丽都花园丽府对面）,中环丰锦,http://cd.fang.lianjia.com/loupan/p_zhfjaakke/, 17500
东大路与静康路交汇处,华宇广场,http://cd.fang.lianjia.com/loupan/p_hygcaacpb/, 13000
双华路三段(四川现代职业技术学院对面),邦泰华府公馆,http://cd.fang.lianjia.com/loupan/p_bthfggaabpz/, 7430
二仙桥北路3号(二仙桥北路与二仙桥北二路交叉路口西南50米处）,交大归谷建设派,http://cd.fang.lianjia.com/loupan/p_jdggjspaaerl/, 10100
2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,http://cd.fang.lianjia.com/loupan/p_fycsgcaapwq/, 14697
公兴镇藕塘村5组,德商华府天骄,http://cd.fang.lianjia.com/loupan/p_dshftjaaejh/, 12761
天府四街1999号,朗基御今缘,http://cd.fang.lianjia.com/loupan/p_ljyjyaaqlx/, 18000
武侯大道文昌段与新机场路的交汇处（中天物流园旁）,时代锦绣,http://cd.fang.lianjia.com/loupan/p_sdjxaaehj/, 8200
同安街道办事处阳光大道8号(博瑞花园酒店对面),昂世半山观邸,http://cd.fang.lianjia.com/loupan/p_asbsgdaalec/, 9500
东三环凯德广场魅力城店向东500米,隆鑫印象东方,http://cd.fang.lianjia.com/loupan/p_lxxdfaarsd/, 12312
峨眉山路369号,佳年华广场,http://cd.fang.lianjia.com/loupan/p_jnhgcaatma/, 11800
肖家河沿街6号,远雄风华园,http://cd.fang.lianjia.com/loupan/p_yxfhyaaaso/, 23000
阳光大道89号,金山御景蓝湾,http://cd.fang.lianjia.com/loupan/p_jsyjlwaasuz/, 4550
